Date,Close
2022-09-01,1580.77
2022-09-02,1568.51
2022-09-03,1552.16
2022-09-04,1571.36
2022-09-05,1598.42
2022-09-06,1579.95
2022-09-07,1641.59
2022-09-08,1644.75
2022-09-09,1720.62
2022-09-10,1734.07
2022-09-11,1759.33
2022-09-12,1724.26
2022-09-13,1607.5
2022-09-14,1603.66
2022-09-15,1504.22
2022-09-16,1436.0
2022-09-17,1462.59
2022-09-18,1370.86
2022-09-19,1357.73
2022-09-20,1342.61
2022-09-21,1313.67
2022-09-22,1324.18
2022-09-23,1301.98
2022-09-24,1342.22
2022-09-25,1293.03
2022-09-26,1325.05
2022-09-27,1324.42
2022-09-28,1351.26
2022-09-29,1338.25
2022-09-30,1331.3
2022-10-01,1309.66
2022-10-02,1303.74
2022-10-03,1323.92
2022-10-04,1362.09
2022-10-05,1346.06
2022-10-06,1363.88
2022-10-07,1332.01
2022-10-08,1325.2
2022-10-09,1320.9
2022-10-10,1307.39
2022-10-11,1282.78
2022-10-12,1298.57
2022-10-13,1294.3
2022-10-14,1302.2
2022-10-15,1280.85
2022-10-16,1311.01
2022-10-17,1330.45
2022-10-18,1314.44
2022-10-19,1293.99
2022-10-20,1281.77
2022-10-21,1302.46
2022-10-22,1316.05
2022-10-23,1330.22
2022-10-24,1351.91
2022-10-25,1473.0
2022-10-26,1554.46
2022-10-27,1527.81
2022-10-28,1561.0
2022-10-29,1627.4
2022-10-30,1595.49
2022-10-31,1566.34
2022-11-01,1575.52
2022-11-02,1513.45
2022-11-03,1541.15
2022-11-04,1647.04
2022-11-05,1631.71
2022-11-06,1604.04
2022-11-07,1575.7
2022-11-08,1335.07
2022-11-09,1105.81
2022-11-10,1320.71
2022-11-11,1265.94
2022-11-12,1255.72
2022-11-13,1216.6
2022-11-14,1226.43
2022-11-15,1244.39
2022-11-16,1206.04
2022-11-17,1205.7
2022-11-18,1208.8
2022-11-19,1210.0
2022-11-20,1139.38
2022-11-21,1092.64
2022-11-22,1130.19
2022-11-23,1168.79
2022-11-24,1195.2
2022-11-25,1199.67
2022-11-26,1209.93
2022-11-27,1216.21
2022-11-28,1172.11
2022-11-29,1219.38
2022-11-30,1296.99
2022-12-01,1276.85
2022-12-02,1290.99
2022-12-03,1260.76
2022-12-04,1277.23
2022-12-05,1259.46
2022-12-06,1256.66
2022-12-07,1231.63
2022-12-08,1278.18
2022-12-09,1259.91
2022-12-10,1268.94
2022-12-11,1264.92
2022-12-12,1275.15
2022-12-13,1320.19
2022-12-14,1310.85
2022-12-15,1264.65
2022-12-16,1194.61
2022-12-17,1179.27
2022-12-18,1182.99
2022-12-19,1176.05
2022-12-20,1216.55
2022-12-21,1211.12
2022-12-22,1215.0
2022-12-23,1221.85
2022-12-24,1218.69
2022-12-25,1218.33
2022-12-26,1216.7
2022-12-27,1210.24
2022-12-28,1186.77
2022-12-29,1195.2
2022-12-30,1197.2
2022-12-31,1199.52
2023-01-01,1202.11
2023-01-02,1221.34
2023-01-03,1210.65
2023-01-04,1252.16
